,Self,camp,Comp
0,0.0,0.0,True
1,0.0,0.0,True
2,-0.0,-0.0,True
3,0.0,0.0,True
4,-0.1,-0.1,True
5,0.5,0.5,True
6,0.0,0.0,True
7,0.1,0.1,True
8,0.1,0.1,True
9,0.2,0.3,False
10,0.0,0.0,True
11,0.0,0.0,True
12,0.0,0.0,True
13,0.0,0.0,True
14,0.0,0.0,True
15,0.0,0.0,True
16,0.2,0.2,True
17,0.1,0.1,True
18,0.0,0.0,True
19,0.2,0.2,True
20,0.1,0.1,True
21,0.0,0.0,True
22,0.1,0.1,True
23,-0.0,-0.0,True
24,-0.1,-0.1,True
25,0.1,0.1,True
26,0.0,0.0,True
27,0.1,0.2,False
28,0.0,0.0,True
29,0.1,0.1,True
30,-0.0,-0.0,True
31,-0.0,-0.0,True
32,0.1,0.1,True
33,0.0,0.0,True
34,0.1,0.1,True
35,0.4,0.4,True
36,-0.0,-0.0,True
37,-0.0,-0.0,True
38,0.3,0.3,True
39,0.2,0.2,True
40,0.1,0.1,True
41,-0.0,-0.0,True
42,0.0,0.0,True
43,0.0,0.0,True
44,-0.0,-0.0,True
45,-0.0,-0.0,True
46,-0.0,-0.0,True
47,0.2,0.2,True
48,0.1,0.1,True
49,0.1,0.1,True
50,0.0,0.0,True
51,0.0,0.0,True
52,0.0,0.0,True
53,0.0,0.0,True
54,0.3,0.3,True
55,0.0,0.0,True
56,-0.0,-0.0,True
57,0.0,0.0,True
58,-0.0,-0.0,True
59,-0.0,-0.0,True
60,-0.0,-0.0,True
61,0.0,0.0,True
62,0.0,0.0,True
63,-0.0,-0.0,True
64,0.0,0.0,True
65,0.0,0.0,True
66,0.0,0.0,True
67,0.2,0.2,True
68,0.0,0.0,True
69,-0.0,-0.0,True
70,0.2,0.2,True
71,0.1,0.1,True
72,0.3,0.3,True
73,0.2,0.2,True
74,0.1,0.1,True
75,-0.0,-0.0,True
76,-0.0,-0.0,True
77,-0.0,-0.0,True
78,-0.0,-0.0,True
79,0.1,0.1,True
80,-0.1,-0.1,True
81,-0.2,-0.1,False
82,0.7,0.7,True
83,0.0,0.0,True
84,0.2,0.2,True
85,0.1,0.1,True
86,0.1,0.1,True
87,-0.0,-0.0,True
88,0.0,0.0,True
89,-0.0,-0.0,True
90,0.1,0.1,True
